ch	pt	CAL_V	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	   10	 185.05	 7.517	185.0	  1	 185.38	 6.770	 100
 0	 0	   20	 201.16	 7.173	201.0	  1	 200.97	 6.951	 100
 0	 0	   30	 214.58	 6.274	215.0	  2	 214.94	 5.802	 100
 0	 0	   40	 227.91	 6.615	229.0	  1	 228.08	 6.423	 100
 0	 0	   50	 242.48	 7.013	242.0	  1	 242.20	 6.471	 100
 0	 0	   60	 256.71	 7.251	257.0	  1	 256.46	 6.858	 100
 0	 0	   70	 269.28	 5.351	269.0	  1	 269.10	 5.068	 100
 0	 0	   80	 281.67	 6.289	282.5	  2	 282.05	 5.732	 100
 0	 0	   90	 294.58	 6.368	293.0	  1	 294.39	 6.121	 100
 0	 0	  100	 306.76	 5.864	306.0	  1	 306.59	 5.628	 100
 0	 0	  200	 400.50	 5.959	401.0	  0	 400.50	 5.959	 100
 0	 0	  300	 462.06	 5.171	462.0	  1	 461.87	 4.829	 100
 0	 0	  400	 503.62	 5.287	504.0	  0	 503.62	 5.287	 100
 0	 0	  500	 538.32	 5.799	538.5	  1	 538.13	 5.512	 100
 0	 0	  600	 567.54	 6.856	568.0	  0	 567.54	 6.856	 100
 0	 0	  700	 592.78	 5.555	593.0	  0	 592.78	 5.555	 100
 0	 0	  800	 615.86	 5.793	616.0	  3	 616.32	 5.241	 100
 0	 0	  900	 634.56	 5.483	634.0	  1	 634.41	 5.313	 100
 0	 0	 1000	 651.51	 4.986	651.0	  0	 651.51	 4.986	 100
 0	 0	 1200	 680.86	 6.042	681.5	  0	 680.86	 6.042	 100
 0	 0	 1400	 705.52	 5.697	706.0	  0	 705.52	 5.697	 100
 0	 0	 1600	 726.77	 5.630	726.5	  0	 726.77	 5.630	 100
 0	 0	 1800	 746.21	 5.323	746.0	  2	 745.92	 4.961	 100
 0	 0	 2000	 763.40	 5.912	762.0	  4	 762.83	 5.319	 100
 0	 0	 4000	 880.80	 7.331	881.0	  0	 880.80	 7.331	 100
 0	 0	 6000	 952.48	 5.825	952.5	  0	 952.48	 5.825	 100
 0	 0	 8000	1009.09	 6.409	1009.5	  1	1008.92	 6.208	 100
 0	 0	10000	1057.85	 5.533	1058.0	  0	1057.85	 5.533	 100
 0	 0	12000	1097.60	 5.427	1098.0	  0	1097.60	 5.427	 100
 0	 0	14000	1133.77	 6.067	1133.5	  0	1133.77	 6.067	 100
 0	 0	16000	1166.52	 6.093	1166.0	  1	1166.71	 5.828	 100
 0	 0	18000	1197.50	 5.533	1198.0	  0	1197.50	 5.533	 100
 0	 0	20000	1227.65	 5.945	1227.0	  0	1227.65	 5.945	 100
 0	 0	22000	1253.59	 5.895	1254.0	  1	1253.39	 5.588	 100
 0	 0	24000	1280.70	 6.435	1281.0	  1	1280.88	 6.213	 100
 0	 0	26000	1306.45	 6.131	1306.0	  0	1306.45	 6.131	 100
 0	 0	28000	1331.57	 5.483	1332.0	  0	1331.57	 5.483	 100
 0	 0	30000	1356.24	 6.702	1357.0	  0	1356.24	 6.702	 100
 0	 0	32000	1380.49	 6.303	1381.0	  0	1380.49	 6.303	 100
 0	 0	34000	1405.61	 6.769	1405.0	  0	1405.61	 6.769	 100
 0	 0	36000	1428.41	 7.314	1429.0	  0	1428.41	 7.314	 100
 0	 0	38000	1450.69	 5.799	1450.0	  3	1450.56	 5.214	 100
 0	 0	40000	1473.31	 5.925	1473.0	  0	1473.31	 5.925	 100
 0	 0	42000	1496.58	 5.354	1496.0	  2	1496.29	 4.987	 100
 0	 0	44000	1517.94	 5.855	1518.0	  0	1517.94	 5.855	 100
 0	 0	46000	1538.33	 6.146	1538.0	  0	1538.33	 6.146	 100
 0	 0	48000	1559.74	 5.889	1559.5	  0	1559.74	 5.889	 100
 0	 0	50000	1578.83	 5.885	1578.5	  0	1578.83	 5.885	 100
 0	 0	52000	1599.35	 6.867	1600.0	  2	1598.96	 6.357	 100
 0	 0	54000	1620.08	 5.944	1621.0	  0	1620.08	 5.944	 100
 0	 0	56000	1640.24	 8.446	1640.5	  0	1640.24	 8.446	 100
 0	 0	58000	1659.08	 7.075	1659.0	  1	1658.84	 6.683	 100
 0	 0	60000	1680.47	 6.277	1680.0	  0	1680.47	 6.277	 100
 0	 0	62000	1700.29	 6.176	1701.0	  0	1700.29	 6.176	 100
 0	 0	64000	1718.57	 5.818	1718.0	  0	1718.57	 5.818	 100
 0	 1	   10	 198.18	 5.374	198.0	  0	 198.18	 5.374	 100
 0	 1	   20	 198.43	 3.801	198.0	  3	 198.52	 3.446	 100
 0	 1	   30	 209.43	 3.602	210.0	  2	 209.60	 3.427	 100
 0	 1	   40	 220.92	 3.684	221.0	  0	 220.92	 3.684	 100
 0	 1	   50	 231.66	 3.702	232.0	  1	 231.78	 3.527	 100
 0	 1	   60	 241.67	 3.088	242.0	  0	 241.67	 3.088	 100
 0	 1	   70	 251.49	 4.145	251.0	  5	 251.20	 3.660	 100
 0	 1	   80	 261.62	 3.308	261.0	  0	 261.62	 3.308	 100
 0	 1	   90	 271.31	 3.784	272.0	  0	 271.31	 3.784	 100
 0	 1	  100	 279.76	 4.103	280.5	  1	 279.87	 3.976	 100
 0	 1	  200	 351.21	 3.394	351.0	  1	 351.12	 3.293	 100
 0	 1	  300	 406.66	 3.677	407.0	  0	 406.66	 3.677	 100
 0	 1	  400	 454.43	 4.398	454.0	  1	 454.29	 4.200	 100
