# Acquisition started at 11/01/2023 - 15:11:40 
#
#******************************************* 
#
#Event	Ev.Type	ASIC	Ch.Type	Channel		Energy (ADC)
0	000	2	00	0		154
0	000	2	00	1		144
0	000	2	00	2		112
0	000	2	00	3		128
0	000	2	00	4		155
0	000	2	00	5		104
0	000	2	00	6		166
0	000	2	00	7		102
0	000	2	00	8		93
0	000	2	00	9		124
0	000	2	00	10		154
0	000	2	00	11		120
0	000	2	00	12		157
0	000	2	00	13		114
0	000	2	00	14		123
0	000	2	00	15		131
0	000	2	00	16		136
0	000	2	00	17		107
0	000	2	00	18		112
0	000	2	00	19		104
0	000	2	00	20		116
0	000	2	00	21		122
0	000	2	00	22		146
0	000	2	00	23		112
0	000	2	00	24		94
0	000	2	00	25		133
0	000	2	00	26		133
0	000	2	00	27		145
0	000	2	00	28		106
0	000	2	00	29		200
0	000	2	00	30		189
0	011	2	10	31		80
1	000	2	00	0		154
1	000	2	00	1		134
1	000	2	00	2		386
1	000	2	00	3		122
1	000	2	00	4		142
1	000	2	00	5		93
1	000	2	00	6		151
1	000	2	00	7		96
1	000	2	00	8		93
1	000	2	00	9		113
1	000	2	00	10		149
1	000	2	00	11		114
1	000	2	00	12		157
1	000	2	00	13		112
1	000	2	00	14		124
1	000	2	00	15		133
1	000	2	00	16		143
1	000	2	00	17		106
1	000	2	00	18		117
1	000	2	00	19		106
1	000	2	00	20		115
1	000	2	00	21		122
1	000	2	00	22		150
1	000	2	00	23		109
1	000	2	00	24		97
1	000	2	00	25		135
1	000	2	00	26		133
1	000	2	00	27		138
1	000	2	00	28		106
1	000	2	00	29		195
1	000	2	00	30		184
1	011	2	10	31		80
2	000	2	00	0		150
2	000	2	00	1		138
2	000	2	00	2		106
2	000	2	00	3		466
2	000	2	00	4		147
2	000	2	00	5		100
2	000	2	00	6		160
2	000	2	00	7		99
2	000	2	00	8		92
2	000	2	00	9		113
2	000	2	00	10		153
2	000	2	00	11		113
2	000	2	00	12		154
2	000	2	00	13		112
2	000	2	00	14		123
2	000	2	00	15		126
2	000	2	00	16		144
2	000	2	00	17		112
2	000	2	00	18		119
2	000	2	00	19		109
2	000	2	00	20		123
2	000	2	00	21		125
2	000	2	00	22		151
2	000	2	00	23		112
2	000	2	00	24		99
2	000	2	00	25		136
2	000	2	00	26		135
2	000	2	00	27		141
2	000	2	00	28		110
2	000	2	00	29		196
2	000	2	00	30		191
2	011	2	10	31		86
3	000	2	00	0		147
3	000	2	00	1		138
3	000	2	00	2		106
3	000	2	00	3		126
3	000	2	00	4		422
3	000	2	00	5		93
3	000	2	00	6		157
3	000	2	00	7		95
3	000	2	00	8		87
3	000	2	00	9		114
3	000	2	00	10		153
3	000	2	00	11		114
3	000	2	00	12		153
3	000	2	00	13		112
3	000	2	00	14		123
3	000	2	00	15		129
3	000	2	00	16		141
3	000	2	00	17		108
3	000	2	00	18		120
3	000	2	00	19		106
3	000	2	00	20		117
3	000	2	00	21		121
3	000	2	00	22		146
3	000	2	00	23		106
3	000	2	00	24		96
3	000	2	00	25		133
3	000	2	00	26		132
3	000	2	00	27		142
3	000	2	00	28		105
3	000	2	00	29		196
3	000	2	00	30		189
3	011	2	10	31		81
4	000	2	00	0		142
4	000	2	00	1		128
4	000	2	00	2		101
4	000	2	00	3		571
4	000	2	00	4		139
4	000	2	00	5		86
4	000	2	00	6		149
4	000	2	00	7		86
4	000	2	00	8		81
4	000	2	00	9		109
4	000	2	00	10		140
4	000	2	00	11		104
4	000	2	00	12		146
4	000	2	00	13		101
4	000	2	00	14		116
4	000	2	00	15		120
4	000	2	00	16		139
4	000	2	00	17		107
4	000	2	00	18		119
4	000	2	00	19		106
4	000	2	00	20		114
4	000	2	00	21		121
4	000	2	00	22		147
4	000	2	00	23		105
4	000	2	00	24		100
4	000	2	00	25		130
4	000	2	00	26		131
4	000	2	00	27		137
4	000	2	00	28		109
4	000	2	00	29		195
4	000	2	00	30		186
4	011	2	10	31		82
5	000	2	00	0		154
5	000	2	00	1		143
5	000	2	00	2		113
5	000	2	00	3		126
5	000	2	00	4		154
5	000	2	00	5		98
5	000	2	00	6		232
5	000	2	00	7		101
5	000	2	00	8		94
5	000	2	00	9		119
5	000	2	00	10		150
5	000	2	00	11		117
5	000	2	00	12		160
5	000	2	00	13		117
5	000	2	00	14		128
5	000	2	00	15		139
5	000	2	00	16		142
5	000	2	00	17		113
5	000	2	00	18		120
5	000	2	00	19		109
5	000	2	00	20		122
5	000	2	00	21		125
5	000	2	00	22		154
5	000	2	00	23		114
5	000	2	00	24		100
5	000	2	00	25		135
5	000	2	00	26		137
5	000	2	00	27		146
5	000	2	00	28		107
5	000	2	00	29		200
5	000	2	00	30		188
5	011	2	10	31		88
6	000	2	00	0		608
6	000	2	00	1		125
6	000	2	00	2		98
6	000	2	00	3		116
6	000	2	00	4		141
6	000	2	00	5		88
6	000	2	00	6		149
6	000	2	00	7		93
6	000	2	00	8		88
6	000	2	00	9		109
6	000	2	00	10		146
6	000	2	00	11		105
6	000	2	00	12		149
6	000	2	00	13		106
6	000	2	00	14		110
6	000	2	00	15		124
6	000	2	00	16		144
6	000	2	00	17		114
6	000	2	00	18		120
6	000	2	00	19		109
6	000	2	00	20		117
6	000	2	00	21		126
6	000	2	00	22		154
6	000	2	00	23		114
6	000	2	00	24		103
6	000	2	00	25		133
6	000	2	00	26		136
6	000	2	00	27		141
6	000	2	00	28		106
6	000	2	00	29		197
6	000	2	00	30		190
6	011	2	10	31		83
7	000	2	00	0		330
7	000	2	00	1		134
7	000	2	00	2		105
7	000	2	00	3		118
7	000	2	00	4		150
7	000	2	00	5		97
7	000	2	00	6		156
7	000	2	00	7		97
7	000	2	00	8		96
7	000	2	00	9		114
7	000	2	00	10		151
7	000	2	00	11		116
7	000	2	00	12		158
7	000	2	00	13		113
7	000	2	00	14		124
7	000	2	00	15		133
7	000	2	00	16		141
7	000	2	00	17		111
7	000	2	00	18		121
7	000	2	00	19		104
7	000	2	00	20		118
7	000	2	00	21		127
7	000	2	00	22		147
7	000	2	00	23		111
7	000	2	00	24		101
7	000	2	00	25		136
7	000	2	00	26		134
7	000	2	00	27		136
7	000	2	00	28		105
7	000	2	00	29		198
7	000	2	00	30		190
7	011	2	10	31		85
8	000	2	00	0		150
8	000	2	00	1		126
8	000	2	00	2		102
8	000	2	00	3		547
8	000	2	00	4		139
8	000	2	00	5		88
8	000	2	00	6		153
8	000	2	00	7		90
8	000	2	00	8		82
8	000	2	00	9		114
8	000	2	00	10		141
8	000	2	00	11		104
8	000	2	00	12		150
8	000	2	00	13		105
8	000	2	00	14		113
8	000	2	00	15		120
8	000	2	00	16		144
8	000	2	00	17		109
8	000	2	00	18		118
8	000	2	00	19		104
8	000	2	00	20		112
8	000	2	00	21		122
8	000	2	00	22		146
8	000	2	00	23		111
8	000	2	00	24		97
8	000	2	00	25		138
8	000	2	00	26		136
8	000	2	00	27		144
8	000	2	00	28		107
8	000	2	00	29		200
8	000	2	00	30		189
8	011	2	10	31		86
9	000	2	00	0		147
9	000	2	00	1		133
9	000	2	00	2		97
9	000	2	00	3		114
9	000	2	00	4		144
9	000	2	00	5		541
9	000	2	00	6		150
9	000	2	00	7		86
9	000	2	00	8		82
9	000	2	00	9		109
9	000	2	00	10		145
9	000	2	00	11		106
9	000	2	00	12		148
9	000	2	00	13		102
9	000	2	00	14		110
9	000	2	00	15		126
9	000	2	00	16		140
9	000	2	00	17		103
9	000	2	00	18		118
9	000	2	00	19		105
9	000	2	00	20		114
9	000	2	00	21		124
9	000	2	00	22		149
9	000	2	00	23		112
9	000	2	00	24		96
9	000	2	00	25		132
9	000	2	00	26		134
9	000	2	00	27		141
9	000	2	00	28		105
9	000	2	00	29		197
9	000	2	00	30		186
9	011	2	10	31		84
10	000	2	00	0		156
10	000	2	00	1		233
10	000	2	00	2		107
10	000	2	00	3		121
10	000	2	00	4		150
10	000	2	00	5		100
10	000	2	00	6		158
10	000	2	00	7		97
10	000	2	00	8		93
10	000	2	00	9		114
10	000	2	00	10		153
10	000	2	00	11		116
10	000	2	00	12		156
10	000	2	00	13		110
10	000	2	00	14		126
10	000	2	00	15		130
10	000	2	00	16		140
10	000	2	00	17		104
10	000	2	00	18		116
10	000	2	00	19		102
10	000	2	00	20		116
10	000	2	00	21		123
10	000	2	00	22		144
10	000	2	00	23		109
10	000	2	00	24		91
10	000	2	00	25		130
10	000	2	00	26		133
10	000	2	00	27		138
10	000	2	00	28		108
